,Unnamed: 0,Accel,Decel,tau,lb,actionStepLength,minGap,error,jmDriveAfterYellowTime
0,0,1.0661657350684066,3.3295159369562843,4.56934079585495,2.090033236146964,1.845609117913518,5.123547665402733,0.1380829072302387,0
1,1,1.4050636752704333,3.4445999447882154,2.3678272491045966,2.4195084598513974,1.9027934909699409,4.07720292911512,0.1254410541024728,0
2,2,1.006061658800567,1.7438246453948212,2.27926113394681,1.8214259544439897,0.6258304484436049,5.730900852891135,0.0290328156579985,0
3,3,3.072524609901377,1.4163301285007632,2.4114375371169308,1.691462723954401,1.270235308117727,4.05473294488676,0.0445387396668516,0
4,4,0.8509127670662517,4.244121289674082,2.7031883583423006,3.3943371049862234,1.2339838485116914,4.5059258584320485,0.0341657057569957,0
5,7,2.6617202009516983,4.101504677876969,2.656566938953606,3.539907859263058,0.8700381270062364,5.815893919100653,0.1317645653766362,0
6,8,2.3901230901498063,1.602370178472107,4.071652487565651,3.587069574507164,0.1358324389407765,5.990838287215153,0.1148036913696663,0
7,10,0.7991045702860441,2.8761232798136254,4.1326437766147786,3.373217457330747,1.512230331070135,4.96331553897372,0.1044839436299743,0
8,12,4.192372161781373,2.698217948026,1.7543119491431698,1.438380695533177,1.6765777670317223,5.098100118297807,0.0005520849021338,0
9,14,2.221462647191624,1.908391205620504,4.299354825894679,2.531551812933439,0.8154391114544604,5.662461114039964,0.0904122678306171,0
10,15,0.7771637405032477,1.4643938599346238,1.896233664340784,2.0824755952499983,0.9090974214404052,3.719964442637643,0.0038691028118676,0
11,19,2.2148864451778896,2.207302541950421,3.030883070256801,2.0533048809559604,1.9501801982575715,4.768262569480981,0.0983209709851047,0
12,20,3.3763902709840274,3.2436587728160253,3.6415362981419657,2.687575459110005,0.5405560058521034,5.486865035232599,0.1379036416051528,0
13,22,3.5505835658398803,3.706692467829361,3.8285649978686873,3.385743782989495,1.3137384865802075,5.570679262845338,0.0143387089540802,0
14,23,0.9400215665999287,2.146333685408046,2.284612009960771,2.0929167483126143,0.9880379136812064,5.183662163611596,0.1322334838535125,0
15,24,4.250792270314578,1.915022168905204,2.2385626998115398,1.6047397465926332,0.2894387331437686,5.147998674777799,0.000453551168852,0
